Id,Time[ns],0:UART: RX/TX
335,3865146400.00,"
336,3865157900.00,[1A]
337,3865169500.00,R
338,3865181000.00,j
339,3865192500.00,*
340,3865204100.00,[06]
341,3865215600.00,[0E]
342,3865227100.00,2
343,3865238600.00,[16]
344,3865250100.00,2
345,3865261600.00,[0A]
346,3865273100.00,[06]
347,3865284700.00,[06]
348,3865296200.00,4
349,3865308800.00,[06]
350,3865320300.00,[06]
351,3865331900.00,[E5]
352,3865346900.00,[8D]
353,3865358700.00,[A0]
354,3865372200.00,[E8]
355,3865384600.00,$
356,3865396900.00,2
357,3865408700.00,r
358,3865423500.00,b
359,3865435000.00,B
360,3865446500.00,6
361,3865458000.00,[0E]
362,3865469500.00,2
363,3865481100.00,[1A]
364,3865492600.00,2
365,3865504100.00,[82]
366,3865515600.00,[06]
367,3865527200.00,f
368,3865538600.00,F
369,3865550200.00,[06]
370,3865561700.00,[1A]
371,3865573200.00,6
372,3865584700.00,[06]
373,3865596300.00,[06]
374,3865607800.00,[06]
375,3865619300.00,"
376,3865630800.00,Z
377,3865642300.00,&
378,3865653800.00,N
379,3865665400.00,[06]
380,3865676900.00,[1A]
381,3865688400.00,[06]
382,3865700000.00,[06]
383,3865711500.00,[E2]
384,3865723000.00,[06]
385,3865734500.00,j
386,3865746000.00,&
387,3865757500.00,F
388,3865769100.00,[E5]
389,3865783800.00,[1D]
390,3865794500.00,V
391,3865807100.00,&
392,3865819400.00,[96]
393,3865835600.00,[89]
394,3865847100.00,[09]
395,3865858600.00,i
396,3865870200.00,[09]
397,3865881600.00,i
398,3865893100.00,[99]
399,3865904700.00,[95]
400,3865916300.00,[AC]
401,3865927400.00,[00]
402,3866042300.00,F
403,3866055700.00,[96]
404,3866068600.00,[CB]
405,3866083400.00,[19]
406,3866097100.00,[DA]
407,3866108600.00,f
408,3866120100.00,[16]
409,3866131600.00,8
410,3866143900.00,[D9]
411,3866157800.00,[B2]
412,3866169600.00,[97]
413,3866180700.00,[99]
414,3866191700.00,[0E]
415,3866203500.00,B
416,3866215300.00,[A2]
417,3866226900.00,[1A]
418,3866238400.00,[E6]
419,3866249900.00,j
420,3866261400.00,[B6]
421,3866273000.00,[16]
422,3866284500.00,[06]
423,3866296000.00,[A2]
424,3866307500.00,[00]
425,3866318500.00,c
426,3866331900.00,[98]
427,3866347300.00,3
428,3866362100.00,[86]
429,3866373600.00,[16]
430,3866385100.00,[06]
431,3866396600.00,[86]
432,3866408200.00,`
433,3866424300.00,*
434,3866435800.00,B
435,3866447600.00,[06]
436,3866459200.00,[9A]
437,3866470700.00,[16]
438,3866482200.00,[06]
439,3866493800.00,[9A]
440,3866505300.00,[80]
441,3866515900.00,3
442,3866526300.00,e
443,3866537700.00,9
444,3866550000.00,[0D]
445,3866560400.00,F
446,3866571900.00,M
447,3866583400.00,F
448,3866594900.00,H
449,3866607600.00,$
450,3866619400.00,[A6]
451,3866633000.00,h
452,3866645400.00,[A4]
453,3866655800.00,H
454,3866670600.00,Y
455,3866681100.00,R
456,3866691500.00,[A4]
457,3866704100.00,2
458,3866718900.00,[82]
459,3866730400.00,&
460,3866741900.00,B
461,3866753400.00,[82]
462,3866764900.00,2
463,3866776500.00,[06]
464,3866788000.00,F
465,3866799500.00,[16]
466,3866811100.00,[06]
467,3866822600.00,2
468,3866834100.00,j
469,3866845600.00,r
470,3866857200.00,*
471,3866868700.00,6
472,3866880200.00,j
473,3866891800.00,[06]
474,3866903300.00,2
475,3866914800.00,F
476,3866926300.00,Z
477,3866937800.00,[06]
478,3866949300.00,[0E]
479,3866960800.00,f
480,3866972400.00,F
481,3866983900.00,B
482,3866995400.00,"
483,3867006900.00,[E5]
484,3867021700.00,[0D]
485,3869034100.00,[94]
486,3869048200.00,[E6]
487,3869064100.00,[B2]
488,3869075600.00,[86]
489,3869087200.00,[C6]
490,3869098700.00,[06]
491,3869110200.00,[16]
492,3869121700.00,[06]
493,3869133200.00,2
494,3869144800.00,j
495,3869156300.00,2
496,3869167800.00,B
497,3869179300.00,F
498,3869190900.00,f
499,3869202400.00,[1A]
500,3869213900.00,6
501,3869225400.00,[1A]
502,3869237000.00,[0E]
503,3869248500.00,2
504,3869260000.00,B
505,3869271500.00,6
506,3869283000.00,j
507,3869294500.00,[06]
508,3869306000.00,"
509,3869317600.00,[1A]
510,3869329100.00,R
511,3869340600.00,j
512,3869352200.00,[06]
513,3869363700.00,[02]
514,3869375200.00,[0E]
515,3869386700.00,[06]
516,3869398200.00,[1A]
517,3869409700.00,F
518,3869421300.00,f
519,3869432800.00,[06]
520,3869444300.00,V
521,3869455900.00,[0A]
522,3869467400.00,J
523,3869478900.00,[0E]
524,3869490400.00,[06]
525,3869501900.00,&
526,3869513400.00,B
527,3869525000.00,[06]
528,3869536500.00,2
529,3869548000.00,[06]
530,3869559500.00,F
531,3869571100.00,[06]
532,3869582600.00,f
533,3869594100.00,B
534,3869605600.00,F
535,3869617100.00,j
536,3869628600.00,[0E]
537,3869640200.00,F
538,3869651700.00,2
539,3869663200.00,[0E]
540,3869674800.00,[0A]
541,3869686300.00,[82]
542,3869697800.00,r
543,3869709300.00,B
544,3869720800.00,6
545,3869732300.00,j
546,3869743900.00,[82]
547,3869755400.00,2
548,3869766900.00,f
549,3869778400.00,b
550,3869790000.00,[0A]
551,3869801500.00,[0E]
552,3869813000.00,Z
553,3869824800.00,[E5]
554,3869839600.00,[0D]
555,3869850300.00,V
556,3869862900.00,&
557,3869875500.00,[96]
558,3869891400.00,[89]
559,3869902900.00,[09]
560,3869914500.00,[99]
561,3869925400.00,j
